language_name,lat,lon
Dhuwaya,-12.266,136.87
Dhay'yi,-13.374,135.762
Pungupungu,-13.377,130.447
Warndarrang,-15.043,135.345
Ngarnka,-16.452,134.826
Wubuy,-13.87,135.589
Matngala,-13.789,130.434
Binbinka,-16.361,136.046
Maranunggu,-13.759,130.272
Walu,-15.721,137.028
Kungarakany,-13.233,130.825
Anindilyakwa,-13.931,136.585
Yanyuwa,-15.802,136.808
Garrwa^,-16.857,137.274
NGAN'GI,-14.228,130.364
Murrinh-kura,-14.716,129.946
Murrinhdiminin,-14.405,129.817
Emmi,-13.517,130.116
Ngan'gimerri,-14.005,130.612
Marri Tjevin,-13.893,129.849
Marri Amu,-13.812,129.81
Magati Ke,-14.088,129.715
Mariyedi,-13.721,130.051
Kerniyn'mi,-13.654,133.585
Maramanindji,-13.971,130.418
Kundedjnjenghmi,-12.679,133.429
Macquarie Harbour Tasmanian,-42.476,145.337
Kuninjku,-12.268,134.041
Galduyh,-13.566,134.389
Letpurrirt,-14.155,132.254
Urrirrk,-11.918,132.649
Ngarlahmi,-14.088,132.36
Ngorrkgowo,-13.452,131.678
Ngardawuli,-11.29,131.932
Ngen'giwumirri,-14.246,130.461
Ben Lomond,-41.516,147.802
Wurdang,-11.287,131.924
Gidjurra,-12.133,132.937
Manangkarri,-11.555,133.173
Ilgar,-11.071,132.907
Burdinmanduwij,-11.31,131.929
BININJ KUNWOK,-12.578,133.557
Garig,-11.246,132.418
Mukngirru,-12.928,130.537
Jaminjung,-15.154,130.39
Gun-narda,-12.128,134.662
Gun-narta,-12.107,134.488
Dhangu,-12.427,136.607
Dhuwal,-12.712,136.01
Dhuwala,-12.654,135.958
Ngaliwurru,-16.073,130.542
Gumadir,-12.481,133.564
Djangu,-12.147,136.421
Tiwi,-11.563,130.76
Nhangu,-11.853,135.702
MARRANJ,-13.653,130.074
Larrakia,-12.518,130.841
GIIMBIYU,-12.481,133.056
Muralidban,-12.241,134.182
Wandangbag,-12.313,132.978
Gonbudj,-12.453,132.156
Kiyuk,-13.168,130.054
Malak Malak,-13.549,130.552
Warray,-13.163,131.254
Yunggor,-13.597,130.413
Wagiman,-14.012,131.169
Wuna,-12.475,131.373
Batjamalh,-13.209,130.274
Wulwulam,-13.642,132.055
Kamu,-13.613,130.778
Wardaman,-15.357,131.527
Bilinarra,-16.967,130.745
Uwinymil,-13.312,131.775
Wurrugu,-11.361,132.093
Dagoman,-14.441,131.878
Iwaidja,-11.613,132.696
Murrinh-Patha,-14.747,130.003
Ngombur,-12.794,132.13
Ngaduk,-12.212,132.596
Bugurnidja,-12.766,132.702
Limilngan,-12.526,131.724
Mbukarla,-12.983,132.367
Mayali,-14.08,132.454
Marrku,-11.158,132.56
Amurdak,-11.95,132.874
Gaagudju,-12.434,132.672
Wada,-12.47,132.564
Mengerrdji,-12.351,133.024
Erre,-12.426,133.065
Jawoyn,-13.897,133.038
Dalabon,-13.316,134.029
Mawng,-11.814,133.364
Kunwinjku,-12.174,133.483
Urningangk,-12.546,133.056
Yangman,-15.414,132.499
Kunbarlang,-11.932,133.894
Menthe,-13.638,129.921
Kune,-12.398,134.387
Kundjeyhmi,-12.926,132.875
Yan-nhangu,-12.008,135.236
Rembarrnga,-13.231,134.454
Ndjébbana,-12.156,134.274
Gurr-goni,-12.228,134.287
Ngalakgan,-14.284,134.271
Mangarrayi,-14.891,133.619
Marrithiyel^,-13.835,130.013
Nakkara,-12.084,134.364
Gun-nartpa,-12.219,134.55
Burarra,-12.162,134.581
Yugul,-14.746,134.831
Ngan'gikurunggurr,-14.186,130.104
Ngandi,-14.009,134.906
Alawa,-15.524,134.48
Djinang,-12.338,134.863
Djinba^,-12.762,135.005
Wilingura,-15.709,135.931
Marridan,-13.999,130.177
Broome Pearling Lugger Pidgin,-17.93,122.299
Ngawadj,-34.224,140.226
Tanganekald,-36.089,139.569
Yirawirung,-34.267,140.533
Bungandidj^,-37.225,140.512
Bindjali / Bodaruwitj,-36.423,140.492
Mardidjali,-36.968,141.643
WERGAIA,-35.869,142.121
Ngintait,-34.373,141.108
Yuyu,-34.099,140.999
Warki,-35.46,138.851
Dhauwurd Wurrung^,-38.156,141.54
Djadjala,-35.56,141.683
Jari Jari,-34.766,141.728
Keerray Woorroong^,-38.04,142.88
Knenknenwurrung,-37.067,142.859
Djab Wurrung^,-37.774,142.337
Jardwadjali^,-36.723,142.569
Dadi Dadi,-34.778,142.838
Wadawurrung,-37.838,143.921
South-western Tasmanian,-43.4,146.071
Ramindjeri,-35.461,138.711
Gulidjan,-38.228,143.696
Dja Dja Wurrung,-36.796,143.675
Weki Weki,-35.037,143.362
Boonwurrung,-38.46,145.575
Woiwurrung,-37.742,145.293
Taungurung,-37.032,145.48
Robbins Island Tasmanian,-40.667,144.956
Jabulajabula / Yabula Yabula,-35.711,145.107
Brataualung,-38.716,146.448
Portaulun,-35.352,139.204
Brayakaulung,-37.873,146.58
Tatungalung,-38.088,147.441
Gundungerre / Yaithmathang,-36.724,147.522
Dhudhuroa,-36.364,147.693
Brabralung,-37.499,147.328
Ngarigu / Ngarigo,-35.902,148.767
Walgalu,-35.696,148.605
Krauatungalang,-37.593,148.338
Bidawal,-37.383,149.053
Ngaralda,-35.019,139.228
Dyirringañ,-36.694,149.722
Circular Head Tasmanian,-40.857,145.374
Thawa,-37.167,149.599
Dhurga,-35.619,150.095
Walbunja,-35.824,149.885
Port Sorell Tasmanian,-41.276,146.568
Dharamba,-35.151,150.341
Ngadjon,-17.364,145.705
Dharawal,-34.566,150.679
Peramangk,-34.863,138.892
Gundungurra / Gandangara,-34.398,149.724
Eora,-33.778,151.175
Kuringgai,-33.406,151.334
Wanarruwa,-32.24,150.925
Dharug / Darug,-33.89,150.048
Darkinyung,-33.035,150.829
Awabakal,-33.055,151.527
KURNAI,-37.975,146.973
NGARRINDJERI,-35.758,139.269
Ngangaruku,-34.832,139.451
Buibadjali,-35.715,142.42
Piper River Tasmanian,-41.136,147.402
Gadubanud,-38.618,143.644
Mamu,-17.64,145.749
Djargurd Wurrong,-38.175,143.257
Gaiwurrung,-38.024,142.348
Little Swanport Tasmanian,-42.441,147.956
Koornkopanoot,-38.17,142.329
Bi:gwurrung,-38.294,142.274
Ngayawang,-34.403,139.502
Wirngilgnad dhalinanong,-38.488,143.021
Wulluwurrung,-37.843,141.634
Ngurai-illamwurrung,-36.473,145.082
Jagwadjali,-36.322,142.685
Biwadjali,-36.306,141.786
Pirtpirtwurrung,-37.414,142.799
Nundadjali,-37.389,141.8
Wotjobaluk,-35.724,143.0
Waywurru / Pallanganmiddang,-36.23,146.307
Yaraldi,-35.451,139.376
Minjambuta,-36.81,146.634
Hawkesbury River - Broken Bay language,-33.506,151.219
Ngarkat,-35.361,140.352
Northern Tasmanian,-41.325,146.034
Oyster Bay Tasmanian,-42.504,147.769
North-western Tasmanian,-41.246,144.872
North Midlands Tasmanian,-41.668,147.188
South-eastern Tasmanian,-43.226,146.998
Big River Tasmanian,-42.425,146.759
Cape Portland Tasmanian,-41.083,148.059
Balardong,-31.556,117.132
Yuat,-30.857,115.919
Amangu,-29.473,115.53
Watjanti,-28.1,114.688
Nhanda^,-26.725,113.974
Thaagurda,-27.17,114.799
Buluguda,-26.057,113.805
Malgana,-26.367,114.383
Yingkarta,-24.946,114.536
Bibulman,-34.419,115.947
Maya,-24.422,114.332
Tharrkari,-23.757,114.962
Warriyangga,-24.63,115.772
Bayungu,-23.209,113.952
Burduna,-23.048,115.115
Thiin,-23.712,116.68
Thalanyji,-22.523,114.941
Jiwarli,-23.497,115.901
Mirnang / Mineng,-34.722,117.565
Nhuwala,-21.539,115.686
Jurruru,-23.232,116.907
Pinikura,-23.031,116.373
Martuthunira,-21.405,116.451
Kurrama,-22.345,117.125
Yindjibarndi,-21.738,117.868
Ngarluma,-20.982,117.556
Kariyarra,-20.871,118.479
Wardandi,-33.857,115.438
Ngarla,-20.263,119.705
NOONGAR / NYOONGAR,-32.922,117.84
Janadjina,-24.736,118.267
Watjanmay,-30.429,119.987
Southern Yingkarta,-25.706,114.937
Yapurarra,-20.672,116.687
Jadira,-21.846,116.188
Kaniyang,-33.984,116.698
Nokaan,-27.243,115.168
Goreng / Koreng,-34.011,118.441
Mbabaram,-17.265,145.078
Bindjareb / Pinjarup,-32.898,115.917
Wiilman,-33.143,117.128
Wudjari,-33.667,120.592
Wajuk,-31.981,116.124
Koko Kai-kai,-16.247,145.451
Uw Oykangand,-15.6,142.021
Kuku Kulunggur,-16.432,145.344
Kuku Wakura,-16.67,144.216
Djabugay / Tjapukai^,-16.737,145.508
Areba,-17.01,142.223
Kuku Djangun / Djungan,-17.106,144.969
Wuthathi,-12.022,143.067
Bulway,-17.004,145.562
Yirrgay,-16.941,145.733
Gunggay,-16.962,145.915
Yidinj^,-17.087,145.766
Waribarra Mamu,-17.505,145.772
Madjay,-17.263,145.857
DYIRBAL / JIRRBAL,-17.74,145.661
Djiru,-17.907,146.052
Tagalaka,-18.197,142.961
Gulngay,-17.962,145.853
Girramay,-18.11,145.733
Gugu Badhun,-18.69,145.233
Nywaigi,-19.147,146.392
Luthigh,-11.928,142.117
Biyay,-18.348,146.169
Yanga,-19.086,143.465
Wamin,-18.781,144.141
Agwamin,-17.676,144.167
Warrungu,-18.034,145.24
Warrgamay^,-18.438,145.798
WULGURUKABA,-18.865,146.643
Mbarrumbathama,-14.882,143.834
Jabunbarra Jirrbal,-17.804,145.84
Yangathimri,-12.02,141.871
Walmalbarra,-18.059,145.996
Jirribarra Mamu,-17.612,146.051
Gambilbarra Jirrbal,-17.681,145.39
Buluguyban,-18.708,146.562
Mulgu,-18.734,146.623
Coonambella,-19.265,146.818
Marrett River language,-14.394,144.174
China Camp,-16.047,145.299
Teppathiggi,-12.077,142.073
Guluy,-16.935,145.447
Kuku Jakandji,-16.65,145.211
Nyagali,-16.548,145.452
Kuku Yalaja,-16.121,144.543
Wanyurr,-17.383,145.943
Dhalundhirr,-15.254,145.28
Waguurrga,-15.113,144.925
Kuuku I'yu,-12.188,142.88
Ngadhugudi,-12.078,142.349
Kuuku Yani,-13.922,143.431
Ogh Igadj,-16.403,142.157
Wik Iyanh,-14.43,141.937
Wik-Keyangan,-14.19,141.905
Kugu Ugbanh,-14.508,141.635
Kugu Uwanh,-14.559,141.651
Kugu Yi'anh,-14.487,141.655
Itinadyana,-12.126,142.654
Nhawalgaba,-19.235,146.789
Atampaya,-11.585,142.329
Uradhi^,-11.891,142.159
Awngthim,-12.712,141.821
Mpakwithi,-12.284,141.933
Mutyanthi,-11.917,142.787
Kokiny,-16.476,141.586
Yumukuntyi,-10.915,142.465
Gudang,-10.867,142.588
Andooyomo,-10.938,142.607
Uyungkuthi,-12.084,142.656
Utyangikwathiya,-11.892,142.472
Rimanggudinhma,-14.487,143.783
Ogh Ikarranggal,-14.633,143.942
Ogh Alungul,-14.681,144.076
Yuputhimri,-12.154,141.795
Kala Lagaw Ya^,-10.112,142.193
Kuuk Yak,-14.877,141.732
Ogh Awarrangg,-16.073,143.004
Koko Babangk,-15.816,141.483
Ogh Undjan,-16.266,142.392
Uw El,-15.146,141.828
Kok Wap,-15.395,141.724
Anguthimri,-12.378,141.836
Kirka,-14.931,141.666
Uutaalnganu,-13.099,143.341
Yirrk-Thangalkl,-15.301,141.617
Kuuk Thaayunth,-14.953,141.646
Ngaygungu,-17.385,145.376
Cleveland Bay,-19.293,146.865
Alodja,-15.679,144.826
Nyuwathayi,-12.409,142.313
Biyay,-18.577,146.235
Kugu Mu'inh,-14.647,141.64
Adithinngithigh,-12.924,141.711
Kuuku Ya'u,-12.542,143.034
Yaraytyana,-11.092,142.706
Yatay,-10.683,142.624
Wakaman,-17.21,144.598
Wimaranga,-12.38,141.687
Thaynakwith,-12.558,141.932
Mpalitjanh,-12.102,142.278
Linngithigh,-13.173,141.822
Ntrwa'ngayth,-13.101,141.638
Ungawangadi,-12.649,142.062
Yinwum,-12.7,142.725
Kalaw Kawaw Ya,-9.352,142.479
Ladamngid,-12.883,141.833
MAMANGATHI,-12.555,141.987
Alngith,-12.644,141.927
Arraythinngith,-12.952,141.933
Ngkoth,-12.828,142.052
Trotj,-12.751,142.406
Ntra'ngith,-12.502,142.109
Meriam Mir,-9.683,143.775
Mbiywom,-12.968,142.17
Kugu Muminh,-14.421,141.651
Kaanju / Kaantju,-13.398,142.972
Umpila,-13.644,143.431
Wik Adinda,-13.493,141.611
Wik Paach,-13.346,141.673
Wik Ompom,-13.344,142.086
Wik Elken,-13.717,141.6
Kulkalgaw Ya,-9.942,143.039
Umpithamu,-14.036,143.449
Wik Ngatharr,-13.754,141.608
Wik Epa,-13.895,141.789
Wik Me'anh,-14.012,141.928
Wik Ngathan,-14.064,141.648
Morrobolam,-14.252,143.535
Wik Mungkan,-13.723,142.326
KUGU NGANHCARA,-14.49,141.792
Kawalgaw Ya,-10.643,142.214
Ayapathu,-14.419,143.24
Flinders Island (retired),-14.276,144.389
Barrow Point,-14.476,144.594
Pakanh,-14.591,142.348
Aghu Tharnggala,-14.923,144.136
Wurangung,-14.6,143.567
Kuuk Thaayorre,-14.909,141.787
Djagaraga,-10.816,142.52
Gugu Rarmul,-14.768,144.11
Yir Yoront,-15.126,141.712
Uw Olkola,-15.348,142.699
Gugu Yawa,-15.38,144.031
KUKU YALANJI,-16.497,144.629
Guugu-Nyiguudyi,-14.654,144.785
Angkamuthi,-11.314,142.294
Kuku-Warra,-15.094,144.612
GUUGU YIMITHIRR,-15.085,144.943
KUNJEN,-15.724,142.654
Kuku Thaypan,-14.66,143.914
Koko Bera,-15.635,141.621
Kuku Bididji,-15.749,144.997
Kuku Buyunji,-16.219,145.342
Kuku Tungay,-16.017,145.348
Yadhaykenu,-11.484,142.726
Kuku Nyungkul,-15.75,145.251
Koko Dhawa,-16.051,141.806
Kuku Mini,-16.053,143.461
Kutjal,-17.312,143.221
Muluridji,-17.119,145.35
Kuku Waldja / Wulpura,-16.226,145.077
